Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestKendoWidgets,Firefox 66.0,"Test Grid (filters, sorts, groups, pagination) and Menu (with items, links, disabled) widgets",,2019-04-29 14:16:02,2019-04-29 14:18:22,2m - 19.907s,PASSED
,,,,,,,
Test Cases/ShowHideColumns,Firefox 66.0,,,2019-04-29 14:16:02,2019-04-29 14:16:14,11.539s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:16:02,2019-04-29 14:16:07,4.485s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:16:07,2019-04-29 14:16:10,3.061s,PASSED
"click(findTestObject(""Object Repository/MvcApp/a_Column Settings for OrderID""))",Firefox 66.0,,,2019-04-29 14:16:10,2019-04-29 14:16:10,0.322s,PASSED
"click(findTestObject(""Object Repository/MvcApp/span_Columns""))",Firefox 66.0,,,2019-04-29 14:16:10,2019-04-29 14:16:11,0.236s,PASSED
"mouseOverOffset(findTestObject(""Object Repository/MvcApp/span_Columns""), 20, 20)",Firefox 66.0,,,2019-04-29 14:16:11,2019-04-29 14:16:11,0.158s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/input_OrderID Hide Show""), 5)",Firefox 66.0,,,2019-04-29 14:16:11,2019-04-29 14:16:11,0.569s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/input_OrderID Hide Show""), 5)",Firefox 66.0,,,2019-04-29 14:16:11,2019-04-29 14:16:11,0.057s,PASSED
"click(findTestObject(""MvcApp/input_OrderID Hide Show""))",Firefox 66.0,,,2019-04-29 14:16:11,2019-04-29 14:16:12,0.246s,PASSED
"verifyElementNotVisible(findTestObject(""Object Repository/MvcApp/a_Order ID""))",Firefox 66.0,,,2019-04-29 14:16:12,2019-04-29 14:16:12,0.049s,PASSED
"click(findTestObject(""MvcApp/input_Freight Hide Show""))",Firefox 66.0,,,2019-04-29 14:16:12,2019-04-29 14:16:12,0.238s,PASSED
